SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022
040,3,7,05,Arkansas,3011555,3014195,3028122,3045637,2640,13927,17515,0.0876623538,0.4620470806,0.5784113058,33,33,33,33,20,21,17,21,19,17
040,4,9,06,California,39538245,39501653,39142991,39029342,-36592,-358662,-113649,-0.092548367,-0.907967067,-0.290343168,1,1,1,1,50,51,50,40,50,42
040,4,8,08,Colorado,5773733,5784865,5811297,5839926,11132,26432,28629,0.1928042048,0.4569164535,0.4926438969,21,21,21,21,9,11,12,12,20,19
040,1,1,09,Connecticut,3605942,3597362,3623355,3626205,-8580,25993,2850,-0.237940599,0.7225572517,0.0786563834,29,29,29,29,45,13,29,47,13,32
040,3,5,10,Delaware,989957,992114,1004807,1018396,2157,12693,13589,0.2178882517,1.2793892637,1.3523990179,45,45,45,45,22,23,20,10,4,7
040,3,5,11,District of Columbia,689546,670868,668791,671803,-18678,-2077,3012,-2.708738793,-0.309598908,0.4503649122,49,49,49,49,47,39,28,51,45,21
040,3,5,12,Florida,21538226,21589602,21828069,22244823,51376,238467,416754,0.2385340371,1.1045456049,1.9092572962,3,3,3,3,2,2,2,9,9,1
040,3,5,13,Georgia,10711937,10729828,10788029,10912876,17891,58201,124847,0.1670192795,0.542422488,1.1572734927,8,8,8,8,5,6,4,14,18,12
040,4,9,15,Hawaii,1455273,1451043,1447154,1440196,-4230,-3889,-6958,-0.290667112,-0.268014111,-0.480805775,40,40,40,40,41,41,40,48,41,47
040,4,8,16,Idaho,1839092,1849202,1904314,1939033,10110,55112,34719,0.5497278005,2.9803125889,1.8231762199,38,38,38,38,11,8,10,1,1,2
040,2,3,17,Illinois,12812545,12786580,12686469,12582032,-25965,-100111,-104437,-0.202652947,-0.782938049,-0.823215664,6,6,6,6,48,49,49,46,49,50
040,2,3,18,Indiana,6785668,6788799,6813532,6833037,3131,24733,19505,0.0461413674,0.3643206994,0.2862685609,17,17,17,17,18,14,16,27,22,24
040,2,4,19,Iowa,3190372,3190571,3197689,3200517,199,7118,2828,0.0062375171,0.223094863,0.0884388694,31,31,31,31,31,27,30,31,27,31
040,2,4,20,Kansas,2937847,2937919,2937922,2937150,72,3,-772,0.0024507743,0.0001021131,-0.026277076,35,35,35,35,32,35,35,32,35,34
040,3,6,21,Kentucky,4505893,4507445,4506589,4512310,1552,-856,5721,0.0344437828,-0.018990803,0.1269474541,26,26,26,26,23,36,25,30,36,29
040,3,7,22,Louisiana,4657749,4651664,4627098,4590241,-6085,-24566,-36857,-0.130642506,-0.528112091,-0.796546777,25,25,25,25,42,46,47,44,48,49
040,1,1,23,Maine,1362341,1363557,1377238,1385340,1216,13681,8102,0.0892581226,1.0033317272,0.5882788596,42,42,42,42,24,22,23,20,10,15
040,3,5,24,Maryland,6177213,6173205,6174610,6164660,-4008,1405,-9950,-0.06488363,0.0227596524,-0.161143781,18,18,18,19,40,31,44,38,34,41
040,1,1,25,Massachusetts,7029949,6995729,6989690,6981974,-34220,-6039,-7716,-0.486774513,-0.086324099,-0.110391162,15,15,15,16,49,43,41,50,39,39
040,2,3,26,Michigan,10077325,10069577,10037504,10034113,-7748,-32073,-3391,-0.076885483,-0.318513876,-0.033783299,10,10,10,10,43,47,38,39,46,35
040,2,4,27,Minnesota,5706504,5709852,5711471,5717184,3348,1619,5713,0.0586698967,0.0283545003,0.1000267707,22,22,22,22,17,30,26,25,33,30
040,3,6,28,Mississippi,2961288,2958141,2949586,2940057,-3147,-8555,-9529,-0.106271325,-0.289201901,-0.323062287,34,34,34,34,39,44,43,42,44,45
040,2,4,29,Missouri,6154920,6153998,6169823,6177957,-922,15825,8134,-0.014979886,0.2571499048,0.1318352244,19,19,19,18,35,20,22,33,25,28
040,4,8,30,Montana,1084197,1087075,1106227,1122867,2878,19152,16640,0.2654499136,1.7617919647,1.504212065,44,44,43,43,19,16,18,6,2,6
040,2,4,31,Nebraska,1961489,1962642,1963554,1967923,1153,912,4369,0.0587818744,0.0464679753,0.2225047032,37,37,37,37,25,33,27,24,32,25
040,4,8,32,Nevada,3104624,3115648,3146402,3177772,11024,30754,31370,0.3550832565,0.987081981,0.9970118249,32,32,32,32,10,10,11,4,11,13
040,1,1,33,New Hampshire,1377518,1378587,1387505,1395231,1069,8918,7726,0.0776033417,0.6468942475,0.5568268222,41,41,41,41,27,25,24,22,15,18
040,1,2,34,New Jersey,9289031,9271689,9267961,9261699,-17342,-3728,-6262,-0.186693316,-0.040208424,-0.067566102,11,11,11,11,46,40,39,45,37,36
040,4,8,35,New Mexico,2117527,2118390,2116677,2113344,863,-1713,-3333,0.0407550884,-0.080863297,-0.157463798,36,36,36,36,28,38,37,29,38,40
040,1,2,36,New York,20201230,20108296,19857492,19677151,-92934,-250804,-180341,-0.460041295,-1.247266302,-0.908176118,4,4,4,4,51,50,51,49,51,51
040,3,5,37,North Carolina,10439414,10449445,10565885,10698973,10031,116440,133088,0.0960877689,1.1143175547,1.2596010651,9,9,9,9,12,3,3,19,8,9
040,2,4,38,North Dakota,779091,779518,777934,779261,427,-1584,1327,0.0548074615,-0.203202492,0.1705800235,47,47,47,47,30,37,32,26,40,27
040,2,3,39,Ohio,11799374,11797517,11764342,11756058,-1857,-33175,-8284,-0.015738123,-0.28120324,-0.070416178,7,7,7,7,37,48,42,34,43,37
040,3,7,40,Oklahoma,3959346,3964912,3991225,4019800,5566,26313,28575,0.1405787724,0.6636465072,0.7159456057,28,28,28,28,15,12,13,15,14,14
040,4,9,41,Oregon,4237291,4244795,4256301,4240137,7504,11506,-16164,0.1770942803,0.2710613822,-0.379766375,27,27,27,27,13,24,46,13,24,46
040,1,2,42,Pennsylvania,13002689,12994440,13012059,12972008,-8249,17619,-40051,-0.063440724,0.1355887595,-0.307799096,5,5,5,5,44,18,48,37,30,44
040,1,1,44,Rhode Island,1097371,1096345,1096985,1093734,-1026,640,-3251,-0.093496183,0.058375785,-0.296357744,43,43,44,44,36,34,36,41,31,43
040,3,5,45,South Carolina,5118429,5131848,5193266,5282634,13419,61418,89368,0.262170287,1.1968008406,1.7208438774,23,23,23,23,7,5,6,7,5,3
040,2,4,46,South Dakota,886677,887799,896164,909824,1122,8365,13660,0.1265398787,0.9422177768,1.5242745747,46,46,46,46,26,26,19,18,12,5
040,3,6,47,Tennessee,6910786,6925619,6968351,7051339,14833,42732,82988,0.2146354988,0.6170134395,1.1909273801,16,16,16,15,6,9,7,11,17,11
040,3,7,48,Texas,29145428,29232474,29558864,30029572,87046,326390,470708,0.2986609083,1.1165322511,1.5924427948,2,2,2,2,1,1,1,5,7,4
040,4,8,49,Utah,3271614,3283785,3339113,3380800,12171,55328,41687,0.3720182149,1.6848849727,1.2484453207,30,30,30,30,8,7,9,3,3,10
040,1,1,50,Vermont,643085,642893,646972,647064,-192,4079,92,-0.029856084,0.6344757215,0.0142200899,50,50,50,50,33,28,33,35,16,33
040,3,5,51,Virginia,8631384,8636471,8657365,8683619,5087,20894,26254,0.0589360872,0.2419275188,0.3032562448,12,12,12,12,16,15,14,23,26,23
040,4,9,53,Washington,7705247,7724031,7740745,7785786,18784,16714,45041,0.243781932,0.2163896028,0.5818690578,13,13,13,13,4,19,8,8,28,16
040,3,5,54,West Virginia,1793755,1791420,1785526,1775156,-2335,-5894,-10370,-0.130173853,-0.329012738,-0.580781238,39,39,39,39,38,42,45,43,47,48
040,2,3,55,Wisconsin,5893725,5896271,5880101,5892539,2546,-16170,12438,0.0431984865,-0.274241126,0.2115269789,20,20,20,20,21,45,21,28,42,26
040,4,8,56,Wyoming,576837,577605,579483,581381,768,1878,1898,0.1331398645,0.3251356896,0.3275333357,51,51,51,51,29,29,31,17,23,22
040,X,X,72,Puerto Rico,3285874,3281557,3262693,3221789,-4317,-18864,-40904,-0.13138057,-0.574849073,-1.253688288,X,X,X,X,X,X,X,X,X,X
